word,freq,joinable,trim_first_letter
ގެ,1187,1,
ން,874,1,
އަށް,753,1,1
އެއް,539,1,1
ތައް,397,1,
ވަންތަ,388,1,
އީ,357,1,1
ގައި,285,1,
ވެ,272,1,
އާއި,238,1,1
ވި,226,1,
ންގެ,219,1,
ގެފާނު,218,1,
ތަކުގެ,203,1,
އަށެވެ,196,1,1
އެވެ,194,1,1
އަކު,179,1,1
ކުރާ,173,,
އާ,171,1,1
ންނަށް,168,1,
ކޮށް,153,,
ގެފާނުގެ,144,1,
ތަކަށް,138,1,
އަކަށް,127,1,1
ކުރައްވާ,123,,
ވެގެންވާ,120,,
އެއްގެ,109,1,1
ވާ,103,1,
ގައެވެ,103,,
ވެއްޖެ,103,,
ކުރެއްވިއެވެ,102,,
އަކީ,102,1,1
ގެފާނަށް,93,1,
ފިޔަވައި,90,,
ކަން,89,,
އާއަށް,89,1,1
ވެރިން,88,1,
ދުވަހުން,87,,
އާމެދު,84,1,1
ހުށްޓެވެ,82,,
ކުރާށެވެ,82,,
ގެފާނާއި,78,1,
ފުޅު,77,1,
ތެރި,77,,
ވެރިވާށެވެ,73,,
ކުރެއްވީމެވެ,71,,
އަށާއި,70,1,1
ގެފާނެވެ,66,1,
އާގެ,59,1,1
އަކުން,58,1,1
ތަކުން,57,1,
ންނާއި,57,1,
ވީ,56,,
ކުރައްވައި,54,,
ންނެވެ,52,1,
ވެރި,52,,
ކުރަނީ,51,,
ވެރިންގެ,51,1,
ވޮޑިގެންވެއެވެ,51,,
އެކެވެ,50,1,1
ކުރެއްވި,50,,
ކުރައްވާށެވެ,50,,
ގޮތުގައި,49,,
ކުރައްވާފައިވާ,49,,
ގެމީހުންނޭވެ,48,1,
ދެއްވާ,48,,
ވެރިންނަށް,47,1,
ދުވަހަށް,44,,
ކުރައްވާނެތެވެ,44,,
ވިމީހުން,43,,
ގެމީހުންގެ,42,1,
ވަނީ,42,,
ވާށެވެ,40,,
ވެގެން,40,,
ކުރެތެވެ,38,,
ގެމީހުން,37,1,
ފުޅުން,35,1,
ކުޅަ,35,,
އާއެކު,34,1,1
ތިޔަބައިމީހުންނަށް,34,,
ންނާ,33,1,
ތަކާމެދު,32,1,
އެއުރެންނަށް,31,,
ވުމުގެ,31,,
ކުރައްވަމެވެ,30,,
ދެނެވޮޑިގެންވަނީ,30,,
ކުރުމަށް,29,,
ންތަކެއް,28,1,
ތަކެއް,28,1,
ގައިވާ,28,,
ކުރައްވާހުށީ,28,,
ގެމީހުންނަށް,28,1,
ވެރިންނެވެ,27,,
އެއްކަމުގައި,26,1,1
ކުރައްވަތެވެ,26,,
ކަމުގެ,26,,
ނުވާ,26,,
ހުރީ,25,,
އަކާ,25,1,
ވޫއެވެ,25,,
ފުޅަށް,25,,
ވެއްޖައީމުއެވެ,25,,
ދެއްވި,24,,
ގަންދީ,24,,
އެއުރެންގެ,23,,
ދޭނޭ,23,,
ތަކެވެ,23,1,
ތަކާއި,23,1,
ވަންތަކަމާއެވެ,22,,
ވުމަށް,22,,
އޭ,22,,
ވަންތަކަމުގެ,22,,
އަށްޓަކައި,22,,
ވެގެންވަނީ,22,,
ދެއްވީމެވެ,22,,
ލިބިގެންވާ,22,,
ވެގެންނެވެ,21,,
އިން,21,1,
އަކާނުލައި,21,,
ދެނެވޮޑިގެންވެތެވެ,21,,
ދެއްވާނެތެވެ,21,,
ކުރެއްވިހިނދު,20,,
ލެއްވިއެވެ,20,,
ނުކުރާށެވެ,20,,
ބާވައިލެއްވި,20,,
ދޭ,20,,
ތެދުމަގެއް,20,,
ކުރެއްވުމަށްޓަކައެވެ,20,,
ވެގެންތިބި,19,,
އެއްވެސް,19,1,1
ގެފާނަށާއި,19,1,
ތެރިވެގެންވާ,19,,
ންނަށާއި,19,,
ވެރިންނޭވެ,19,,
ވިދާޅުވާށެވެ,19,,
ފުދެއެވެ,19,,
ވަންތަކަން,18,,
ކުރުން,18,,
ވެއްޖެނަމަ,18,,
ފުޅާއެކު,18,,
ވުމަށްޓަކައެވެ,18,,
ބާގައިމީހުން,18,,
ގޮތް,17,,
ވުން,17,,
އަކަށްމެ,17,,
ކުރައްވާފައިވެއެވެ,17,,
ވެރިވެ,17,,
ދޭށެވެ,16,,
އެކަލާނގެ,16,,
ދީ,16,,
ވަންތަކަމުން,16,,
ކޮށްފިނަމަ,16,,
ކަނޑައަޅުއްވާފައިވާ,16,,
ކުރާހުށިކަމެވެ,16,,
ލިބިވޮޑިގެންވާ,16,,
ކަމުގައި,16,,
ތެދެވެ,16,,
ކަމުން,16,,
ފިރިހެނުންނާއި,16,,
ބާގައިމީހުންނާއި,16,,
ތެރިންނަށް,15,,
ނުވެއެވެ,15,,
ންތައް,15,,
އާއިގެން,15,1,1
މެނުވީ,15,,
ކުރެއްވީ,15,,
ލިބުމަކީ,15,,
ދެއްވައި,15,,
ތިޔަބައިމީހުން,14,,
ކުރި,14,,
ނުވާށެވެ,14,,
